13,2,2,12,13,14,13,12,13,14,13,3,4,22,23,24,2,4,5,6,6,7,23,24,12,14,1,14,22,24,3,22,23,23,23,24,12,13,14,13,15,14,13,13,13,13,13,13,13,22,23,24,22,23,24,1,13,2,3,13
13,12,12,22,23,2,4,22,23,24,13,5,6,6,15,12,22,24,23,24,13,15,12,13,22,2,11,4,12,13,13,13,13,22,23,24,22,23,24,1,13,2,3,4,13,2,4,23,5,6,7,1,13,12,5,3,4,12,13,14
13,12,12,14,7,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,15,15,2,3,13,13,13,13,13,13,14,13,12,13,14,13,12,14,13,13,13,13,13,13,13,13,23,24,12,13,13
13,12,22,24,13,12,14,6,6,6,7,13,14,2,3,22,23,23,15,15,15,13,13,13,13,12,21,14,11,2,4,12,13,13,13,2,3,3,4,14,13,22,23,24,13,22,24,13,13,13,15,11,13,22,23,11,24,22,23,14
13,12,14,13,13,22,24,13,12,22,23,23,24,12,13,14,13,5,6,7,13,2,3,4,12,22,2,3,4,22,24,1,24,5,6,7,13,13,14,14,6,7,2,3,4,15,2,3,4,15,15,21,2,3,4,21,2,3,4,14
13,12,14,1,14,22,24,3,22,23,23,24,14,12,13,14,13,15,14,13,13,12,13,14,22,23,12,2,3,3,4,11,2,3,4,15,15,5,6,7,13,2,12,13,14,13,12,13,14,13,3,4,22,23,24,2,4,5,6,14
13,22,2,11,4,12,13,13,13,13,22,23,24,22,23,24,1,13,2,3,3,22,2,3,3,4,22,12,13,23,24,21,12,13,14,12,15,13,31,32,31,32,22,23,2,4,22,23,24,13,5,6,6,15,12,22,24,23,24,14
13,13,12,21,14,22,2,4,23,5,31,32,1,31,32,5,6,7,12,13,13,15,12,13,5,6,7,22,23,2,3,4,22,23,24,22,23,23,41,42,41,42,23,23,12,14,6,6,6,7,13,14,2,3,22,23,23,15,15,14
13,13,22,23,24,13,22,24,13,13,41,42,11,41,42,23,11,24,22,23,13,13,22,23,23,24,2,3,4,15,15,5,6,7,4,13,13,15,31,32,31,32,13,13,22,24,13,22,23,23,23,24,12,13,13,13,5,6,7,14
13,6,7,2,3,4,15,2,3,4,15,15,21,2,3,4,21,2,3,4,2,3,3,4,2,4,13,2,3,3,3,4,12,13,14,3,3,4,41,42,41,42,13,13,13,13,13,13,13,13,13,22,23,12,14,15,5,6,13,14
